5.432433751434918578e-01,7.503831602383423949e-01
7.828066100948661843e-01,3.489422580956038633e-01
4.011065041073134108e-01,7.201971913842400985e-01
8.858838974804321698e-01,9.491344725758664724e-01
8.718375825831904402e-01,7.178977124415742983e-01
6.559839112054571819e-01,3.008449758505649108e-01
4.389975636273713011e-01,2.127130770624516831e-01
2.265068420562011964e-01,4.718330019737052572e-01
8.661718602369145037e-01,4.364381667765973027e-01
1.438969696506493534e-01,6.619569797602475880e-03
3.714369557856557202e-01,3.783275793826166300e-01
4.252674925679187368e-01,4.668493755973845971e-02
1.992389754928555190e-01,8.519722041434231175e-01
1.761458348589262091e-02,2.376656512156537504e-01
8.096103448958559268e-01,2.663866781048337407e-01
2.162505829322776130e-01,2.116532688732121192e-01
2.454831313554989292e-01,1.884327219170145451e-02
9.270300374602393756e-01,1.676312540193920508e-01
7.484116092728571035e-01,1.541851236879983045e-01
3.827071463032148957e-01,8.179782141848781496e-01
